0.0097 0.00008 0.00512
0.0389 0.02059 0.01436
0.0875 0.04304 0.02378
0.156  0.06132 0.02842
0.243  0.06051 0.02453
0.350  0.05916 0.01559
0.477  0.05312 0.00916
0.623  0.04794 0.00762
0.788  0.04834 0.00849
0.973  0.05032 0.00877
1.177  0.04391 0.00958
1.401  0.03265 0.01147
1.644  0.03036 0.01247
