0.150      0.0058    0.997      0.005	   0.981     0.005      
0.295      0.0115    1.001      0.005	   0.969     0.005      
0.297      0.0116    0.998      0.003	   0.966     0.003      
0.347      0.0135    0.998      0.003	   0.961     0.003      
0.390      0.0152    1.004      0.003	   0.962     0.003      
0.396      0.0154    0.997      0.003	   0.955     0.003      
0.440      0.0171    0.997      0.003	   0.951     0.003      
0.493      0.0192    0.994      0.004	   0.942     0.004      
0.530      0.0206    0.994      0.010	   0.939     0.009      
0.678      0.0264    0.992      0.004	   0.922     0.004      
0.794      0.0309    0.995      0.004      0.914     0.004
