0.130         0.971      0.011        0.481     0.011  
0.190         0.973      0.008        0.367     0.006  
0.270         0.958      0.013        0.253     0.007  
0.330         0.958      0.011        0.1994    0.0044 
0.390         0.994      0.012        0.1716    0.0041 
0.450         1.001      0.025        0.1405    0.0071 
0.530         0.998      0.035        0.1070    0.0074 
0.580         0.972      0.014        0.0867    0.0025 
0.650         0.972      0.042        0.0702    0.0061 
0.720         1.095      0.070        0.0729    0.0093 
0.780         0.956      0.028        0.0471    0.0028 
0.940         1.057      0.041        0.0383    0.0030 
1.100         0.914      0.032        0.0198    0.0014 
1.350         0.960      0.044        0.0130    0.0012 
1.750         0.857      0.076        0.0051    0.0009
