# Data from Kees
 0.389	 0.952 0.043
 0.584	 0.980 0.027
 0.779	 0.946 0.051
 0.973	 1.031 0.074
 1.168	 1.051 0.152
 1.363	 0.875 0.182
 1.557	 1.192 0.285
 1.752	 0.813 0.478
