0.32  0.930  0.067 0.007
0.35  0.910  0.061 0.004
0.39  0.961  0.033 0.005
0.46  0.952  0.034 0.006
0.57  0.959  0.039 0.007
0.76  0.966  0.033 0.012
0.86  0.865  0.029 0.015
0.88  0.923  0.086 0.013
1.02  0.900  0.038 0.022
1.12  0.825  0.027 0.020
1.18  0.851  0.050 0.023
1.42  0.733  0.058 0.029
1.76  0.816  0.115 0.069
