 7.0      0.272       0.958      0.013	     0.5004    1.4    
10.0      0.389       0.994      0.012	     0.4147    1.2    
15.0      0.584       0.972      0.014	     0.2926    1.4    
20.0      0.779       0.956      0.029	     0.2174    3.0    
30.0      1.168       0.914      0.033	     0.1307    3.6    
45.0      1.752       0.856      0.077       0.07123   9.0
