0.0109    0.973      0.014
0.0116    0.959      0.010
0.0116    0.974      0.006
0.0140    0.967      0.040
0.0190    0.933      0.009
0.0221    0.915      0.037
0.0233    0.940      0.007
0.0241    0.922      0.010
0.0307    0.920      0.037
0.0361    0.848      0.034
0.0388    0.881      0.009
0.0408    0.884      0.009
0.0505    0.867      0.025
0.0536    0.873      0.036
0.0621    0.849      0.004
0.0776    0.810      0.024
0.0776    0.825      0.022
0.0776    0.784      0.013
0.0854    0.790      0.006
0.116     0.725      0.021
0.155     0.650      0.034
0.155     0.749      0.173
0.233     0.557      0.122
0.233     0.654      0.186
0.310     0.400      0.109
0.310     0.473      0.624
0.388     0.419      0.033
0.388     0.558      0.021
0.388     0.417      0.020
0.466     0.300      0.044
0.466     0.466      0.032
0.543     0.256      0.054
0.582     0.416      0.022
0.621     0.281      0.050
0.699     0.350      0.024
0.776     0.316      0.045
0.854     0.295      0.046
0.931     0.249      0.109
0.931     0.204      0.545
0.970     0.396      0.037
1.164     0.000      0.200
1.164     0.359      0.037
1.358     0.258      0.044
1.552     0.436      0.073
1.746     0.000      0.250
