Dataset:	Vertical 3He, Q2=1.0
Runs:	20596-20789
NuBin TotalUp TotalDown Bin1Up Bin1Down Bin2Up Bin2Down Bin3Up Bin3Down Bin4Up Bin4Down
0.28000000000000003 5064386 4887484 5528948 5336659 5313311 5141940 5025096 4869725 18.65300000000002 18.65300000000002 699.99999999999989
0.40000000000000002 172561 167444 204556 198401 356800 345047 339344 328040 18.65300000000002 18.65300000000002 699.99999999999989
0.47999999999999998 1511524 1463778 1651819 1599573 1568420 1516099 1481850 1436092 18.65300000000002 18.65300000000002 699.99999999999989
0.56000000000000005 2450642 2362537 2653160 2558695 2262219 2192760 2139962 2072649 18.65300000000002 18.65300000000002 699.99999999999989
0.64000000000000001 918350 882110 1018985 979577 1124796 1087017 1062908 1031923 18.65300000000002 18.65300000000002 699.99999999999989
0.47999999999999998 759294 736054 830736 805207 799660 771631 754509 731842 18.65300000000002 18.65300000000002 699.99999999999989
0.51999999999999991 1200152 1160532 1294022 1251411 1048706 1015517 991443 960631 18.65300000000002 18.65300000000002 699.99999999999989
0.55999999999999994 1268332 1221549 1371340 1321296 1149878 1116138 1088952 1053093 18.65300000000002 18.65300000000002 699.99999999999989
0.59999999999999987 1017761 979036 1117004 1075213 1109739 1073306 1048380 1017722 18.65300000000002 18.65300000000002 699.99999999999989
0.6399999999999999 447110 429135 499010 479397 579864 560441 547816 532154 18.65300000000002 18.65300000000002 699.99999999999989
0.67999999999999994 0 0 0 0 0 0 0 0 18.65300000000002 18.65300000000002 699.99999999999989
