Dataset:      Vertical 3He, Q2=1.0
Runs:   20596-20789
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20612 7933 8600 9505 10187 17536 17923 16617 16616 18.65300000000002 18.65300000000002 699.99999999999989
20613 6485 7548 7877 9360 15880 20541 14548 19088 18.65300000000002 18.65300000000002 699.99999999999989
20614 8649 5099 10590 6341 21796 13883 20479 12891 18.65300000000002 18.65300000000002 699.99999999999989
20642 1784 5637 2132 6873 3860 13881 3673 13082 18.65300000000002 18.65300000000002 699.99999999999989
20643 6500 7890 7982 9654 16576 19855 15655 18604 18.65300000000002 18.65300000000002 699.99999999999989
20647 6690 7266 8193 9006 16998 19551 15656 18416 18.65300000000002 18.65300000000002 699.99999999999989
20648 5361 9244 6504 11290 12763 23215 12039 21358 18.65300000000002 18.65300000000002 699.99999999999989
20649 7993 6558 9730 8013 19659 16443 18246 15144 18.65300000000002 18.65300000000002 699.99999999999989
20650 7619 6365 9425 7781 20199 15860 18927 14919 18.65300000000002 18.65300000000002 699.99999999999989
20662 6641 7314 8210 8964 17630 18483 16527 17626 18.65300000000002 18.65300000000002 699.99999999999989
20663 6478 7458 8014 9159 17500 19368 16015 17774 18.65300000000002 18.65300000000002 699.99999999999989
20665 6764 7139 8330 8798 17689 18476 16366 17597 18.65300000000002 18.65300000000002 699.99999999999989
20666 8176 5941 9991 7348 20466 15699 18901 14990 18.65300000000002 18.65300000000002 699.99999999999989
20667 8262 5551 10251 6763 22566 13683 20716 12621 18.65300000000002 18.65300000000002 699.99999999999989
20668 6910 6933 8506 8550 17803 18366 16858 16982 18.65300000000002 18.65300000000002 699.99999999999989
20671 7598 6369 9356 7827 19743 16525 18638 15376 18.65300000000002 18.65300000000002 699.99999999999989
20672 4673 6254 5795 7694 12614 16336 11889 15123 18.65300000000002 18.65300000000002 699.99999999999989
20673 7784 6131 9656 7484 20836 15444 19814 14166 18.65300000000002 18.65300000000002 699.99999999999989
20674 6725 6767 8324 8387 17884 18294 16711 16935 18.65300000000002 18.65300000000002 699.99999999999989
20682 6237 7501 7695 9286 16513 20078 15326 18631 18.65300000000002 18.65300000000002 699.99999999999989
20683 5182 4980 6151 6129 10968 12932 10135 12129 18.65300000000002 18.65300000000002 699.99999999999989
20684 9573 3786 11871 4674 26019 10176 23956 9325 18.65300000000002 18.65300000000002 699.99999999999989
20685 6971 7190 8561 8834 17967 18639 16731 17241 18.65300000000002 18.65300000000002 699.99999999999989
20686 6575 6986 8105 8687 17253 19147 16023 18007 18.65300000000002 18.65300000000002 699.99999999999989
20687 6548 7478 8075 9167 17170 19012 16148 17791 18.65300000000002 18.65300000000002 699.99999999999989
20688 6205 7600 7681 9346 16629 19626 15551 18242 18.65300000000002 18.65300000000002 699.99999999999989
20689 8677 6206 10519 7586 20735 15746 19422 14423 18.65300000000002 18.65300000000002 699.99999999999989
20691 6856 6752 8473 8366 18170 18292 16910 16941 18.65300000000002 18.65300000000002 699.99999999999989
20692 6927 6713 8526 8330 17842 18164 16998 16871 18.65300000000002 18.65300000000002 699.99999999999989
20693 7978 5857 9763 7267 20098 15957 18664 14695 18.65300000000002 18.65300000000002 699.99999999999989
20694 7382 6338 9158 7790 19961 16470 18646 15158 18.65300000000002 18.65300000000002 699.99999999999989
20695 6751 7428 8281 9129 17201 19478 16183 17815 18.65300000000002 18.65300000000002 699.99999999999989
20696 6359 7683 7817 9444 16416 19765 15220 18616 18.65300000000002 18.65300000000002 699.99999999999989
20698 7218 6957 8880 8574 18668 18292 17530 16919 18.65300000000002 18.65300000000002 699.99999999999989
20699 7428 6167 9195 7628 19955 16744 18555 15133 18.65300000000002 18.65300000000002 699.99999999999989
20700 8360 6129 10253 7437 21435 14791 19893 13687 18.65300000000002 18.65300000000002 699.99999999999989
20702 6612 7463 8151 9146 17345 18981 16237 17614 18.65300000000002 18.65300000000002 699.99999999999989
20703 7838 6833 9512 8333 18892 16747 17565 15794 18.65300000000002 18.65300000000002 699.99999999999989
20706 7507 6303 9292 7734 20150 15923 18671 15211 18.65300000000002 18.65300000000002 699.99999999999989
20709 6316 7539 7759 9345 15978 20199 15307 18991 18.65300000000002 18.65300000000002 699.99999999999989
20710 9840 4266 12126 5199 25678 10461 24113 9781 18.65300000000002 18.65300000000002 699.99999999999989
20712 8076 6236 9900 7661 20600 16013 19146 15032 18.65300000000002 18.65300000000002 699.99999999999989
20713 7077 6435 8745 8004 18698 17676 17610 16433 18.65300000000002 18.65300000000002 699.99999999999989
20714 7592 6538 9308 8068 19345 17138 17958 16253 18.65300000000002 18.65300000000002 699.99999999999989
20715 7802 6325 9551 7795 19653 16492 18541 15424 18.65300000000002 18.65300000000002 699.99999999999989
20716 6205 7868 7603 9686 15685 20425 14787 19106 18.65300000000002 18.65300000000002 699.99999999999989
20717 4908 9289 6057 11359 13023 23288 12152 21670 18.65300000000002 18.65300000000002 699.99999999999989
20719 7220 7751 8699 9512 16709 19830 15561 18598 18.65300000000002 18.65300000000002 699.99999999999989
20720 9102 5971 11085 7219 22316 14146 21002 12952 18.65300000000002 18.65300000000002 699.99999999999989
20721 7687 6541 9460 8023 20198 16679 18546 15789 18.65300000000002 18.65300000000002 699.99999999999989
20722 6619 8310 8020 10134 15754 20417 14816 19252 18.65300000000002 18.65300000000002 699.99999999999989
20723 6664 8203 8083 10024 16216 20277 14803 19401 18.65300000000002 18.65300000000002 699.99999999999989
20724 7296 7940 8859 9617 17641 18765 16388 17832 18.65300000000002 18.65300000000002 699.99999999999989
20725 8534 6645 10325 8091 20355 16120 18761 15338 18.65300000000002 18.65300000000002 699.99999999999989
