nu                  Ay0      e_s       e_N         e_p         e_t       e_n
0.087500000000000008 0.361918 0.0224137 0.00107229 0.000234125 0.0168989 0
0.14999999999999999 0.193858 0.0809155 0.000574365 0.000125407 0.00905174 0
0.20999999999999999 0.224868 0.0211412 0.000666242 0.000145467 0.0104997 0
0.27000000000000002 0.200765 0.013449 0.000594829 0.000129875 0.00937424 0
0.32999999999999996 0.200497 0.0212703 0.000594035 0.000129702 0.00936173 0
0.21249999999999999 0.233828 0.0326152 0.000692788 0.000151263 0.010918 0
0.23749999999999999 0.209272 0.0236392 0.000620034 0.000135378 0.00977146 0
0.26250000000000001 0.209561 0.020504 0.00062089 0.000135565 0.00978495 0
0.28749999999999998 0.189333 0.0206136 0.000560958 0.00012248 0.00884045 0
0.3125 0.198043 0.0231909 0.000586764 0.000128114 0.00924714 0
0.33749999999999997 0.213202 0.0533543 0.000631677 0.00013792 0.00995496 0
