Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20511
NuBin TotalUp TotalDown Bin1Up Bin1Down Bin2Up Bin2Down Bin3Up Bin3Down Bin4Up Bin4Down
0.0040000000000000001 8127 4064 529037 544882 3503412 3638501 3292754 3424077 45.562400000000025 45.562400000000025 699.99999999999989
0.017500000000000002 113 45 3083 3026 19996 20494 18683 19601 45.562400000000025 45.562400000000025 699.99999999999989
0.050000000000000003 864 571 126163 130249 842032 875667 791490 822564 45.562400000000025 45.562400000000025 699.99999999999989
0.080000000000000002 4626 2400 259440 267257 1715824 1780374 1611794 1676203 45.562400000000025 45.562400000000025 699.99999999999989
0.11 2398 902 140351 144350 925560 961966 870787 905709 45.562400000000025 45.562400000000025 699.99999999999989
0.064000000000000001 613 110 84396 86839 562390 583508 529200 549646 45.562400000000025 45.562400000000025 699.99999999999989
0.075999999999999998 1659 893 106647 110111 707053 734153 663874 689777 45.562400000000025 45.562400000000025 699.99999999999989
0.087999999999999995 2423 847 105993 108697 697642 723340 654879 682425 45.562400000000025 45.562400000000025 699.99999999999989
0.10000000000000001 1554 720 89557 92297 590292 613968 555162 576976 45.562400000000025 45.562400000000025 699.99999999999989
0.11199999999999999 965 367 58931 60639 389059 404112 366077 381254 45.562400000000025 45.562400000000025 699.99999999999989
0.124 0 0 0 0 2 0 0 0 45.562400000000025 45.562400000000025 699.99999999999989
