nu                  Ay0      e_s       e_N         e_p         e_t       e_n
0.017500000000000002 0.947069 1.11202 0.00700199 0.00193404 0.0442211 1.11289
0.050000000000000003 0.446889 0.399834 0.003304 0.000912607 0.0208664 0.400375
0.080000000000000002 0.695912 0.175163 0.0051451 0.00142114 0.0324939 0.178136
0.11 0.997849 0.240304 0.00737742 0.00203774 0.0465922 0.244756
0.064000000000000001 1.53434 0.41411 0.0113439 0.00313333 0.0716423 0.42023
0.075999999999999998 0.659061 0.292264 0.00487265 0.00134589 0.0307733 0.293871
0.087999999999999995 1.06118 0.237328 0.00784565 0.00216707 0.0495493 0.242419
0.10000000000000001 0.806336 0.302039 0.0059615 0.00164664 0.0376499 0.304364
0.11199999999999999 0.988152 0.379166 0.00730573 0.00201794 0.0461394 0.381948
