0  1.00662  3724.19  19533.7
1  1.00722  4201.71  23375
2  1.00793  2411.93  10487.3
3  1.00524  3689.32  20316.1
4  1.01885  1261.31  11689.9
5  1.00583  3844.89  21834
6  1.00619  3650.62  18707.4
7  1.00854  3589.42  19275.2
8  1.03202  -522.586  23530.9
9  1.02964  770.787  24113.2
10  1.01025  4038.48  18281.2
11  1.00843  4303.99  22094
12  1.01244  3522.35  15610.3
13  1.00677  2887.88  15741.9
14  1.00587  3475.79  20877.3
15  1.00577  1743.87  7417.9
16  1.00641  3402.53  19756.6
17  1.00821  3644.84  18723.5
18  1.00591  3494.31  19013.4
19  1.00822  3003.67  14808.6
20  1.0052  3087.54  21376.1
21  1.00714  3185.53  17308
22  1.00658  4345.48  24926.5
23  1.00665  2310.87  11289.5
24  1.00935  3547.49  17339.7
25  1.00918  3929.02  20716.3
26  1.39676  -8197.27  14731
27  1.00662  3030.62  15107.8
28  9.60775  421.803  8.69512
29  1.00563  2412.22  14277
30  1.00792  3098.32  16945.6
31  1.00556  3310.5  16222
