     0.0000    1.0000     2.7900
     0.0110    0.9651	  2.6966
     0.0220    0.9323	  2.6079
     0.0330    0.9016	  2.5235
     0.0440    0.8726	  2.4434
     0.0550    0.8453	  2.3673
     0.0660    0.8196	  2.2951
     0.0770    0.7953	  2.2264
     0.0880    0.7722	  2.1610
     0.0990    0.7503	  2.0989
     0.1100    0.7296	  2.0397
     0.1210    0.7098	  1.9833
     0.1320    0.6910	  1.9296
     0.1430    0.6730	  1.8783
     0.1540    0.6558	  1.8294
     0.1650    0.6394	  1.7826
     0.1760    0.6237	  1.7378
     0.1870    0.6086	  1.6950
     0.1980    0.5941	  1.6540
     0.2090    0.5802	  1.6146
     0.2200    0.5668	  1.5769
     0.2310    0.5539	  1.5407
     0.2420    0.5415	  1.5059
     0.2530    0.5295	  1.4724
     0.2640    0.5179	  1.4402
     0.2750    0.5068	  1.4091
     0.2860    0.4959	  1.3793
     0.2970    0.4855	  1.3504
     0.3080    0.4753	  1.3226
     0.3190    0.4655	  1.2958
     0.3300    0.4560	  1.2699
     0.3410    0.4468	  1.2448
     0.3520    0.4378	  1.2205
     0.3630    0.4291	  1.1971
     0.3740    0.4206	  1.1743
     0.3850    0.4124	  1.1523
     0.3960    0.4044	  1.1310
     0.4070    0.3966	  1.1103
     0.4180    0.3891	  1.0902
     0.4290    0.3817	  1.0707
     0.4400    0.3745	  1.0517
     0.4510    0.3675	  1.0333
     0.4620    0.3607	  1.0155
     0.4730    0.3541	  0.9981
     0.4840    0.3476	  0.9811
     0.4950    0.3413	  0.9647
     0.5060    0.3351	  0.9486
     0.5170    0.3291	  0.9330
     0.5280    0.3232	  0.9178
     0.5390    0.3175	  0.9030
     0.5500    0.3119	  0.8885
     0.5610    0.3064	  0.8744
     0.5720    0.3011	  0.8607
     0.5830    0.2959	  0.8473
     0.5940    0.2908	  0.8342
     0.6050    0.2858	  0.8214
     0.6160    0.2809	  0.8089
     0.6270    0.2761	  0.7967
     0.6380    0.2715	  0.7847
     0.6490    0.2669	  0.7731
     0.6600    0.2624	  0.7617
     0.6710    0.2581	  0.7505
     0.6820    0.2538	  0.7396
     0.6930    0.2496	  0.7290
     0.7040    0.2455	  0.7185
     0.7150    0.2415	  0.7083
     0.7260    0.2376	  0.6983
     0.7370    0.2337	  0.6885
     0.7480    0.2300	  0.6790
     0.7590    0.2263	  0.6696
     0.7700    0.2227	  0.6604
     0.7810    0.2191	  0.6514
     0.7920    0.2157	  0.6425
     0.8030    0.2123	  0.6339
     0.8140    0.2089	  0.6254
     0.8250    0.2057	  0.6171
     0.8360    0.2025	  0.6089
     0.8470    0.1993	  0.6009
     0.8580    0.1962	  0.5931
     0.8690    0.1932	  0.5854
     0.8800    0.1903	  0.5778
     0.8910    0.1874	  0.5704
     0.9020    0.1845	  0.5631
     0.9130    0.1817	  0.5560
     0.9240    0.1790	  0.5490
     0.9350    0.1763	  0.5421
     0.9460    0.1737	  0.5353
     0.9570    0.1711	  0.5287
     0.9680    0.1686	  0.5222
     0.9790    0.1661	  0.5158
     0.9900    0.1636	  0.5095
     1.0010    0.1612	  0.5033
     1.0120    0.1589	  0.4972
     1.0230    0.1566	  0.4913
     1.0340    0.1543	  0.4854
     1.0450    0.1521	  0.4796
     1.0560    0.1499	  0.4740
     1.0670    0.1478	  0.4684
     1.0780    0.1456	  0.4629
     1.0890    0.1436	  0.4575
     1.1000    0.1415	  0.4523
     1.1110    0.1395	  0.4470
     1.1220    0.1376	  0.4419
     1.1330    0.1357	  0.4369
     1.1440    0.1338	  0.4319
     1.1550    0.1319	  0.4271
     1.1660    0.1301	  0.4223
     1.1770    0.1283	  0.4176
     1.1880    0.1265	  0.4129
     1.1990    0.1248	  0.4083
     1.2100    0.1231	  0.4039
     1.2210    0.1214	  0.3994
     1.2320    0.1198	  0.3951
     1.2430    0.1182	  0.3908
     1.2540    0.1166	  0.3866
     1.2650    0.1150	  0.3824
     1.2760    0.1135	  0.3783
     1.2870    0.1120	  0.3743
     1.2980    0.1105	  0.3703
     1.3090    0.1090	  0.3664
     1.3200    0.1076	  0.3626
     1.3310    0.1062	  0.3588
     1.3420    0.1048	  0.3551
     1.3530    0.1035	  0.3514
     1.3640    0.1021	  0.3478
     1.3750    0.1008	  0.3442
     1.3860    0.0995	  0.3407
     1.3970    0.0982	  0.3372
     1.4080    0.0970	  0.3338
     1.4190    0.0957	  0.3304
     1.4300    0.0945	  0.3271
     1.4410    0.0933	  0.3238
     1.4520    0.0922	  0.3206
     1.4630    0.0910	  0.3175
     1.4740    0.0899	  0.3143
     1.4850    0.0887	  0.3112
     1.4960    0.0876	  0.3082
     1.5070    0.0866	  0.3052
     1.5180    0.0855	  0.3022
     1.5290    0.0844	  0.2993
     1.5400    0.0834	  0.2965
     1.5510    0.0824	  0.2936
     1.5620    0.0814	  0.2908
     1.5730    0.0804	  0.2881
     1.5840    0.0794	  0.2854
     1.5950    0.0785	  0.2827
     1.6060    0.0775	  0.2800
     1.6170    0.0766	  0.2774
     1.6280    0.0757	  0.2748
     1.6390    0.0748	  0.2723
     1.6500    0.0739	  0.2698
     1.6610    0.0731	  0.2673
     1.6720    0.0722	  0.2649
     1.6830    0.0714	  0.2625
     1.6940    0.0705	  0.2601
     1.7050    0.0697	  0.2578
     1.7160    0.0689	  0.2554
     1.7270    0.0681	  0.2532
     1.7380    0.0673	  0.2509
     1.7490    0.0665	  0.2487
     1.7600    0.0658	  0.2465
     1.7710    0.0650	  0.2443
     1.7820    0.0643	  0.2422
     1.7930    0.0636	  0.2401
     1.8040    0.0629	  0.2380
     1.8150    0.0622	  0.2359
     1.8260    0.0615	  0.2339
     1.8370    0.0608	  0.2319
     1.8480    0.0601	  0.2299
     1.8590    0.0594	  0.2279
     1.8700    0.0588	  0.2260
     1.8810    0.0581	  0.2241
     1.8920    0.0575	  0.2222
     1.9030    0.0569	  0.2203
     1.9140    0.0563	  0.2185
     1.9250    0.0556	  0.2167
     1.9360    0.0550	  0.2149
     1.9470    0.0544	  0.2131
     1.9580    0.0539	  0.2113
     1.9690    0.0533	  0.2096
     1.9800    0.0527	  0.2079
     1.9910    0.0522	  0.2062
     2.0020    0.0516	  0.2045
     2.0130    0.0511	  0.2029
     2.0240    0.0505	  0.2013
     2.0350    0.0500	  0.1996
     2.0460    0.0495	  0.1980
     2.0570    0.0490	  0.1965
     2.0680    0.0484	  0.1949
     2.0790    0.0479	  0.1934
     2.0900    0.0475	  0.1919
     2.1010    0.0470	  0.1904
     2.1120    0.0465	  0.1889
     2.1230    0.0460	  0.1874
     2.1340    0.0455	  0.1859
     2.1450    0.0451	  0.1845
     2.1560    0.0446	  0.1831
     2.1670    0.0442	  0.1817
     2.1780    0.0437	  0.1803
     2.1890    0.0433	  0.1789
     2.2000    0.0429	  0.1776
     2.2110    0.0424	  0.1762
     2.2220    0.0420	  0.1749
     2.2330    0.0416	  0.1736
