  1 :  -2052  -2103 
  2 :  -1914  -1892 
  3 :  -1875  -1931 
  4 :  -1853  -1833 
  5 :  -1945  -2050 
  6 :  -1957  -1991 
  7 :  -2006  -1854 
  8 :  -2027  -1879 
  9 :  -1925  -1826 
 10 :  -1879  -1922 
 11 :  -1920  -1967 
 12 :  -1984  -2001 
 13 :  -2181  -2121 
 14 :  -2012  -1942 
 15 :  -1837  -1863 
 16 :  -2136  -2121 
 17 :  -1977  -2072 
 18 :  -2100  -1952 
 19 :  -2015  -2055 
 20 :  -2226  -2231 
 21 :  -2142  -2158 
 22 :  -2030  -2010 
 23 :  -2234  -2224 
 24 :  -2250  -2122 
