Dataset:	Hydrogen, Q2=1.0
Runs:	0-0
Omega	Raw Asym	Stat. Error	# HePos Events	HePos Charge	PosHe LT	 # Neg Events	HeNeg Charge	NegHe LT
0.365	 0	0	0	0	0	0	0	0
0.395	 0	0	0	0	0	0	0	0
0.425	 0	0	0	0	0	0	0	0
0.455	 1	0	1308	0	0	0	0	0
0.485	 1	0	19186	0	0	0	0	0
0.515	 1	0	22369	0	0	0	0	0
0.545	 1	0	19230	0	0	0	0	0
0.575	 1	0	10260	0	0	0	0	0
0.605	 1	0	3413	0	0	0	0	0
0.635	 0	0	0	0	0	0	0	0
