# Goeckeler form factor Lattice calculation for mu_p GEp/GMp
#  Q2              central         lower          upper
  0.29750000E+01  0.63575082E+00  0.48246854E+00  0.78903311E+00
  0.30100000E+01  0.63507470E+00  0.48155857E+00  0.78859083E+00
  0.30450000E+01  0.63441173E+00  0.48066653E+00  0.78815693E+00
  0.30800000E+01  0.63376154E+00  0.47979190E+00  0.78773117E+00
  0.31150000E+01  0.63312375E+00  0.47893417E+00  0.78731334E+00
  0.31500000E+01  0.63249802E+00  0.47809285E+00  0.78690320E+00
  0.31850000E+01  0.63188401E+00  0.47726748E+00  0.78650055E+00
  0.32200000E+01  0.63128140E+00  0.47645761E+00  0.78610518E+00
  0.32550000E+01  0.63068986E+00  0.47566281E+00  0.78571691E+00
  0.32900000E+01  0.63010910E+00  0.47488266E+00  0.78533553E+00
  0.33250000E+01  0.62953882E+00  0.47411676E+00  0.78496087E+00
  0.33600000E+01  0.62897874E+00  0.47336473E+00  0.78459276E+00
  0.33950000E+01  0.62842860E+00  0.47262619E+00  0.78423101E+00
  0.34300000E+01  0.62788813E+00  0.47190079E+00  0.78387547E+00
  0.34650000E+01  0.62735708E+00  0.47118817E+00  0.78352599E+00
  0.35000000E+01  0.62683520E+00  0.47048800E+00  0.78318240E+00
