Dataset:	Vertical 3He, Q2=1.0
Runs:	20596-20789
xBj	Asymmetry	Stat. Error	# BeamPos Events	BeamPos Charge	PosBeam LT	# Neg Events	BeamNeg Charge	NegBeam LT
0.335	0.333326	0.379359	8	1.15329	0.9274	4	1.15327	0.9274
0.365	-0.00362168	0.0283351	1241	1.15329	0.9274	1250	1.15327	0.9274
0.395	0.00931693	0.00894647	12609	1.15329	0.9274	12376	1.15327	0.9274
0.425	-0.0053998	0.00428212	54240	1.15329	0.9274	54828	1.15327	0.9274
0.455	0.00198803	0.00265856	141766	1.15329	0.9274	141201	1.15327	0.9274
0.485	-0.00123949	0.00189017	279551	1.15329	0.9274	280240	1.15327	0.9274
0.515	0.00220718	0.00158367	399602	1.15329	0.9274	397835	1.15327	0.9274
0.545	-0.00242107	0.00148023	455292	1.15329	0.9274	457494	1.15327	0.9274
0.575	-8.67092e-06	0.00152114	432178	1.15329	0.9274	432178	1.15327	0.9274
0.605	0.0025792	0.00166633	361073	1.15329	0.9274	359209	1.15327	0.9274
