# Magnetic form factor of the proton
# Chiral quark-soliton model in SU(3) 
# Pion asymptotics only 
# as in
# H.~C.~Kim, A.~Blotz, M.~V.~Polyakov and K.~Goeke,
# ``Electromagnetic form-factors of the SU(3) Octet 
#   baryons in the semibosonized SU(3) Nambu-Jona-Lasinio model,''
# Phys.\ Rev.\ D {\bf 53}, 4013 (1996)
# [arXiv:hep-ph/9504363].
#
# Q^2 in GeV^2   &    GMp (physical nuclear magnetons)
# Q2     GMp      GEp          GMn         GEn
0.00  1.772570    1.000000     -1.196390   0.0000000 
0.90  0.333953	  0.147829     -0.221252   0.0124670 
0.91  0.329222	  0.145366     -0.218110   0.0123820 
0.92  0.324575	  0.142950     -0.215024   0.0122975 
0.93  0.320010	  0.140580     -0.211992   0.0122133 
0.94  0.315525	  0.138256     -0.209014   0.0121297 
0.95  0.311118	  0.135977     -0.206088   0.0120466 
0.96  0.306787	  0.133741     -0.203213   0.0119639 
0.97  0.302532	  0.131547     -0.200388   0.0118816 
0.98  0.298349	  0.129394     -0.197611   0.0117999 
0.99  0.294238	  0.127282     -0.194883   0.0117185 
1.00  0.290197	  0.125210     -0.192201   0.0116377 
