#"Q^2" "Gmp/Gd/mup" "Gep/Gd" "Gep/GMp"
0.001000000047 0.9996685386 0.9997443557 1.00007584223877
0.009999999776 0.9970480204 0.9975546002 1.00050807964073
0.01122018415 0.9967286587 0.9972723126 1.00054543821456
0.01258925442 0.9963797927 0.9969595075 1.00058182111304
0.01412537508 0.9959999323 0.9966133237 1.00061585486114
0.01584893279 0.9955878854 0.9962309003 1.00064586452832
0.01778279431 0.9951428771 0.9958090186 1.00066939282321
0.01995262317 0.9946646094 0.9953446984 1.00068373700398
0.02238721214 0.9941533208 0.9948345423 1.00068522780717
0.02511886507 0.9936103225 0.9942754507 1.00066940548517
0.02818382904 0.9930377007 0.9936642051 1.000630896893
0.03162277862 0.9924389124 0.9929977059 1.00056305077624
0.03548134118 0.9918190241 0.9922731519 1.00045787365332
0.03981071711 0.9911847115 0.9914879799 1.00030596557481
0.04466836154 0.9905446172 0.9906399846 1.00009627774291
0.05011872575 0.9899097085 0.9897274375 0.99981587108558
0.0562341325 0.9892934561 0.9887491465 0.999449799655862
0.06309573352 0.9887120128 0.9877044559 0.99898093996335
0.07079458237 0.9881842732 0.9865934253 0.998390130319674
0.07943282276 0.9877322316 0.9854166508 0.997655659372127
0.0891250968 0.9873805046 0.9841751456 0.996753674004027
0.1000000015 0.9871567488 0.9828703403 0.995657823840833
0.1122018471 0.9870908856 0.9815035462 0.994339589716094
0.1258925498 0.9872151613 0.980075717 0.992768096986478
0.1412537545 0.9875631332 0.9785867929 0.990910616244944
0.1584893316 0.9881693721 0.977034986 0.988732310052944
0.1778279543 0.9890681505 0.9754158854 0.986196840841454
0.1995262355 0.9902926087 0.9737212062 0.983266155523715
0.2238721251 0.9918733835 0.9719379544 0.979901235952462
0.2511886656 0.9938371778 0.9700469375 0.976062235513605
0.2818382978 0.9962051511 0.9680213928 0.971708881178862
0.3162277937 0.998991251 0.9658256769 0.96680093637777
0.3548133969 1.002200484 0.9634142518 0.961298928887765
0.3981072009 1.00582695 0.9607303739 0.95516467708486
0.4466836154 1.00985229 0.9577058554 0.948362314849036
0.5011872649 1.01424396 0.9542605877 0.940859029320717
0.5623413324 1.018953919 0.9503030181 0.93262609857041
0.630957365 1.023917794 0.9457313418 0.923639912639315
0.7079458237 1.029054403 0.9404351711 0.913882850467722
0.7943282723 1.034265757 0.9342983365 0.903344551607349
0.891250968 1.039438248 0.9272022843 0.892022480492752
1.000000119 1.044444323 0.9190299511 0.879922395920764
1.122018576 1.049144745 0.9096707702 0.8670593590973
1.258925557 1.053391933 0.899025321 0.853457571522906
1.412537694 1.057034016 0.8870100975 0.839150002813155
1.584893346 1.05991888 0.873562336 0.82417848430061
1.778279543 1.061898828 0.858643353 0.808592429296852
1.995262504 1.062835097 0.8422412872 0.792447755608883
2.238721371 1.062601805 0.82437253 0.775805693271903
2.511886597 1.061089396 0.8050811291 0.758730727245907
2.818383217 1.058207512 0.7844373584 0.741288782686321
3.162277937 1.053886652 0.7625341415 0.723544737997118
3.548134089 1.048079014 0.7394827008 0.705560068393851
3.981071949 1.040758371 0.7154076099 0.687390685325557
4.466836452 1.031919599 0.6904407144 0.669083826946483
5.011872768 1.021576762 0.6647157073 0.650676221333234
5.623413563 1.009761691 0.6383630037 0.632191743249646
6.309574127 0.9965221882 0.6115050316 0.61363915308755
7.079458714 0.9819200635 0.5842525363 0.595010284459882
7.943283081 0.9660291672 0.5567023754 0.576279054817342
8.912509918 0.9489341974 0.5289355516 0.55739961005646
10.00000095 0.9307290316 0.5010165572 0.538305500515774
11.22018528 0.9115154743 0.4729937613 0.518909195330158
12.58925533 0.8914021254 0.444899559 0.499100850584532
14.1253767 0.870503068 0.4167515635 0.478747954854997
15.84893322 0.8489366174 0.388553679 0.457694568753561
17.78279686 0.826823771 0.3602970541 0.435760396274335
19.95262527 0.8042866588 0.3319611251 0.41273981293596
22.38721466 0.7814471722 0.3035143018 0.388400281679335
25.11886787 0.7584246397 0.2749144733 0.362480936021203
28.18383217 0.7353345752 0.2461093962 0.334690363407789
31.62277985 0.7122870088 0.2170364857 0.304703698114113
35.48134232 0.6893845797 0.1876228452 0.272159910048536
39.81072235 0.66672194 0.1577848792 0.236657697510299
44.66836548 0.6443842649 0.1274278164 0.197751284972446
50.11872864 0.622446835 0.09644520283 0.154945285937553
56.23413849 0.6009747386 0.06471825391 0.107688809118274
63.09574127 0.5800226927 0.03211517259 0.0553688208999275
70.79458618 0.5596353412 -0.001509603811 -0.00269747762491737
79.43283081 0.5398478508 -0.0363162607 -0.067271288838481
89.12510681 0.5206863284 -0.07248051465 -0.139201877784506
100.0000153 0.5021685362 -0.1101946831 -0.219437649228012
112.2018585 0.4843051136 -0.1496688128 -0.309038266574272
125.8925552 0.4670999944 -0.1911320537 -0.409188730446279
141.2537689 0.4505515397 -0.2348340899 -0.52121470954547
158.4893494 0.4346533716 -0.2810469568 -0.646600199523219
177.8279724 0.4193950891 -0.3300668001 -0.787006831215659
199.5262604 0.4047630727 -0.3822161853 -0.944296085980375
223.8721466 0.3907411397 -0.4378464818 -1.12055383299585
251.1886749 0.3773111701 -0.4973405302 -1.31811769598072
281.8383484 0.3644535244 -0.5611157417 -1.53960849363102
316.2278137 0.3521476388 -0.6296274662 -1.78796446952067
354.813446 0.3403722942 -0.7033728361 -2.06648087428263
398.1072388 0.329106003 -0.782894671 -2.37885260026691
446.6836548 0.3183272183 -0.8687864542 -2.72922453455184
501.1873169 0.3080145717 -0.9616971612 -3.1222456648469
562.3414307 0.2981470823 -1.062337041 -3.56313076353053
